Car_model,KM_Traveled,Prices
2020,,1850000.0
2022,,1750000.0
2015,,640000.0
2019,,980000.0
2023,,1350000.0
2017,,1275000.0
2017,,1225000.0
2023,,2100000.0
2018,,940000.0
2016,,625000.0
2023,,800000.0
2012,,1090000.0
2017,,770000.0
2015,,890000.0
2024,,3450000.0
2017,,775000.0
2017,,600000.0
2020,,1350000.0
2022,,995000.0
2004,,395000.0
2021,,1035000.0
2024,,1950000.0
2015,,1050000.0
2023,,2625000.0
2023,,2590000.0
2022,,1295000.0
2017,,800000.0
2017,,900000.0
2023,,2900000.0
2025,,3200000.0
